,date,rd_link_cd,signgu_cd,signgu_nm,adstrd_cd,adstrd_nm,dayweek_cd,agrde_cd,tmzon_cd,flpop_co
8676089,201612,24890,11290,己合备,11290640,沥釜3悼,1,0,2,0.482
8676103,201612,24890,11290,己合备,11290640,沥釜3悼,1,20,2,0.482
8678049,201612,24911,11290,己合备,11290640,沥釜3悼,1,0,2,0.084
8678077,201612,24911,11290,己合备,11290640,沥釜3悼,1,40,2,0.042
8678084,201612,24911,11290,己合备,11290640,沥釜3悼,1,50,2,0.042
8688731,201612,25018,11290,己合备,11290640,沥釜3悼,1,0,2,1.5175
8688745,201612,25018,11290,己合备,11290640,沥釜3悼,1,20,2,1.3695
8688759,201612,25018,11290,己合备,11290640,沥釜3悼,1,40,2,0.148
8690299,201612,25033,11290,己合备,11290640,沥釜3悼,1,0,2,0.028
8690327,201612,25033,11290,己合备,11290640,沥釜3悼,1,40,2,0.014
8690334,201612,25033,11290,己合备,11290640,沥釜3悼,1,50,2,0.014
8709703,201612,25232,11290,己合备,11290640,沥釜3悼,1,0,2,0.0336
8709731,201612,25232,11290,己合备,11290640,沥釜3悼,1,40,2,0.0168
8709738,201612,25232,11290,己合备,11290640,沥釜3悼,1,50,2,0.0168
8724991,201612,25391,11290,己合备,11290640,沥釜3悼,1,0,2,12.091222
8724998,201612,25391,11290,己合备,11290640,沥釜3悼,1,10,2,0.58133334
8725005,201612,25391,11290,己合备,11290640,沥釜3悼,1,20,2,0.3281111
8725012,201612,25391,11290,己合备,11290640,沥釜3悼,1,30,2,2.3658888
8725019,201612,25391,11290,己合备,11290640,沥釜3悼,1,40,2,3.9034445
8725026,201612,25391,11290,己合备,11290640,沥釜3悼,1,50,2,3.338
8725033,201612,25391,11290,己合备,11290640,沥釜3悼,1,60,2,1.5744444
8725040,201612,25391,11290,己合备,11290640,沥釜3悼,2,0,2,4.556667
8725054,201612,25391,11290,己合备,11290640,沥釜3悼,2,20,2,0.18722223
8725061,201612,25391,11290,己合备,11290640,沥釜3悼,2,30,2,1.0013889
8725068,201612,25391,11290,己合备,11290640,沥釜3悼,2,40,2,1.3455555
8725075,201612,25391,11290,己合备,11290640,沥釜3悼,2,50,2,1.41
8725082,201612,25391,11290,己合备,11290640,沥釜3悼,2,60,2,0.6125
8731165,201612,25455,11290,己合备,11290640,沥釜3悼,1,0,2,4.467
8731172,201612,25455,11290,己合备,11290640,沥釜3悼,1,10,2,0.304
8731186,201612,25455,11290,己合备,11290640,沥釜3悼,1,30,2,0.907
8731193,201612,25455,11290,己合备,11290640,沥釜3悼,1,40,2,1.665
8731200,201612,25455,11290,己合备,11290640,沥釜3悼,1,50,2,1.287
8731207,201612,25455,11290,己合备,11290640,沥釜3悼,1,60,2,0.304
8731214,201612,25455,11290,己合备,11290640,沥釜3悼,2,0,2,0.9325
8731235,201612,25455,11290,己合备,11290640,沥釜3悼,2,30,2,0.1875
8731242,201612,25455,11290,己合备,11290640,沥釜3悼,2,40,2,0.3725
8731249,201612,25455,11290,己合备,11290640,沥釜3悼,2,50,2,0.3725
