구간번호,관리청,도로분류,대표지역,도로(노선)명,총길이(km),기점 위도(WGS84(4326)),기점 경도(WGS84(4326)),종점 위도(WGS84(4326)),종점 경도(WGS84(4326)),정북기준 도로방향 각도(x1),정북기준 도로방향 각도(y1),정북기준 도로방향 각도(기점 기준십진수 방위각)
48330-2,경상남도(양산시),시도,경상남도 양산시,"도시계획도로 중로1-29, 1-32",1.9,35.38506836,129.1658777,35.37817567,129.1635241,0.002353608,0.006892685,71.14678258
70100-135,한국도로공사(한국도로공사),고속국도,경상북도 포항시,20호선,1.2,36.08219706,129.1662664,36.08666141,129.1780984,-0.011832046,-0.004464345,200.6719746
26350-14,부산광역시(해운대구),지방도,부산광역시 해운대구,달맞이길,1.2,35.16081621,129.1723722,35.15777331,129.1825005,-0.010128335,0.003042904,163.2779027
47760-18,경상북도(영양군),일반국도,경상북도 영양군,국도 88호선,3,36.75661927,129.1747463,36.76555836,129.1953671,-0.020620823,-0.008939089,203.4366446
47760-14,경상북도(영양군),지방도,경상북도 영양군,지방도917호선,1,36.85932797,129.1766828,36.87812733,129.1551661,0.021516681,-0.018799354,318.8559401
47750-4,경상북도(청송군),지방도,경상북도 청송군,지방도930호선,1.8,36.298532,129.176695,36.306582,129.187669,-0.010974,-0.00805,216.2619853
70100-162,한국도로공사(한국도로공사),고속국도,울산광역시 울주군,1호선,3,35.67569384,129.1772826,35.7014938,129.1862633,-0.00898064,-0.025799958,250.8076374
60500-70,국토관리청(부산청),일반국도,경상북도 영양군,88호선,21,36.762452,129.177852,36.754913,129.333512,-0.15566,0.007539,177.22719
26710-2,부산광역시(기장군),위임국도,부산광역시 기장군,국도14호선,3,35.24654994,129.1801016,35.24886709,129.2136531,-0.033551468,-0.002317148,183.9507167
26350-18,부산광역시(해운대구),지방도,부산광역시 해운대구,청사포로,1.3,35.16448796,129.1806612,35.16074,129.192725,-0.012063841,0.003747958,162.7411821
26710-4,부산광역시(기장군),지방도,부산광역시 기장군,군도17호선,1.5,35.25049039,129.1840126,35.25640308,129.1765174,0.007495185,-0.005912692,321.731315
42230-3,강원특별자치도(삼척시),도시계획도로,강원특별자치도 삼척시,새천년도로,0.3,37.45231311,129.1866454,37.45124574,129.1891556,-0.002510194,0.001067362,156.9642717
48330-1,경상남도(양산시),지방도,경상남도 양산시,지방도 1028호선,1,35.42672607,129.1897875,35.4251498,129.1997233,-0.009935734,0.001576264,170.9853828
26350-15,부산광역시(해운대구),지방도,부산광역시 해운대구,달맞이길,0.2,35.17786977,129.1931815,35.16394489,129.1856266,0.007554801,0.013924875,61.51839974
47000-1,경상북도(본청),지방도,경상북도 포항시,69호선,2.9,36.22183729,129.1935195,36.22442907,129.2078885,-0.014369089,-0.002591786,190.2246339
