연 번,관리기관,설치연도,설치구간,연장(m)
628,관악구,2022,"국회단지4길25~국회단지6길18,
국회단지4길33~국회단지6길26",150
629,관악구,2024,양녕로1길 48 ~ 봉천로33길 63,250
630,관악구,2024,솔밭로7길1~솔밭로7길16,200
631,관악구,2024,승방길6 ~ 승방길 42,220
632,관악구,2024,신림동배수지~광신길177,500
633,관악구,2024,법원단지21길2 ~ 법원단지길157,250
634,관악구,2024,문성로246 ~ 문성로38길 67,250
635,관악구,2024,"대학18길 6 ~ 51,
대학길 106 ~ 대학16길 22",380
636,관악구,2024,신림로48길 28 ~ 신림로48길 56,180
637,관악구,2024,남부순환로1678 ~ 남부순환로200가길 22,175
638,관악구,2024,양녕로 29 ~ 양녕로5길 11,100
639,관악구,2024,낙성대역8길 2 ~ 낙성대역8길 50,185
640,관악구,2024,관악로 248 ~ 관악로30길 19 ,910
641,관악구,2024,남현길 58 ~ 남부순환로256길 60,280
642,관악구,2024,인헌16길 47 ~ 인헌16길 35,60
643,관악구,2024,관악로28길 22 ~ 행운9길 34,336
644,관악구,2024,관악로 97 ~ 관악11길 11,490
645,관악구,2024,봉천동 1712-11,160
646,관악구,2024,쑥고개로112 ~ 청룡15길 35,280
647,관악구,2024,대학14길 52 ~ 대학14길 90,200
648,관악구,2024,남현8길3 ~ 남현길 141,360
649,관악구,2024,쑥고개로16길 53 ~ 청룡길 78,180
650,관악구,2025,구암길 46 ~ 구암5가길 49,362
651,관악구,2025,"구암길 38 ~ 은천로25길 51, 난곡로16길 3 ~ 32, 국회단지길 46 ~ 70",283
652,관악구,2025,난곡로30 ~ 난곡로 67,410
653,관악구,2025,난향길 92 ~ 난향길 60,180
654,관악구,2025,태흥길 10 ~ 호암로 545,60
655,관악구,2025,미성7길 42 ~ 미성5길 14,100
656,관악구,2025,원신길 138 ~ 호암로 549,60
657,관악구,2025,난향길 10 ~ 난향길 40,260
658,관악구,2025,난곡로35길 68 ~ 난곡로35길 102,200
659,관악구,2025,은천로33길 22 ~ 은천로 149,160
660,서초구,2019,"남부순환로(양재동11-13 앞, 보도)",25
661,서초구,2020,서운로 서초문화예술학교 후문(서초동 1344-14),9
662,서초구,2021,서초대로65길(서초동 1680-5 ~ 서초동 1685),420
663,서초구,2021,서초대로53길(서초동 1698-2),62
664,서초구,2021,사평대로53길(반포동 719-1 ~ 반포동 726-23),100
665,서초구,2021,사평대로55길(반포동 720 ~ 반포동 725-5),210
666,서초구,2021,효령로33길(방배동 906-16 ~ 방배동 167-4),137
667,서초구,2021,명달로1길 51 방배어울림 아파트 주변(방배동 998),85
668,서초구,2022,명달로1길(방배동 1006-1 ~ 방배동 999),240
669,서초구,2022,효령로20길(방배동 980-59 ~ 방배동 979-44),400
670,서초구,2022,원터길(원지동 380-2 ~ 원지동 377-3),157
671,서초구,2022,서초대로64길(1구간)(서초동 1641-3 ~ 서초동 1647-13),280
672,서초구,2021,효령로33길(방배동 906-16 ~ 방배동 167-4),137
673,서초구,2021,명달로9길 방배어울림 아파트 주변(방배동 998),85
674,서초구,2022,명달로1길(방배동 1006-1 ~ 방배동 999),240
675,서초구,2022,"효령로20길(방배동 980-59 ~ 방배동 978-32
            방배동 537-38 ~ 방배동 1038)",400
676,서초구,2022,원터길(원지동 380-2 ~ 원지동 377-3),157
677,서초구,2022,서초대로64길(1구간)(서초동 1641-3 ~ 서초동 1647-13),275
678,서초구,2023,명달로(방배동 1002-5 ~ 방배동 1007-4),445
679,서초구,2023,고무래로(서초동 1684),380
680,서초구,2023,서초대로64길(서초동 1635-6 ~ 서초동 1636-1),190
681,서초구,2023,방배로18길(방배동 167-4 ~ 방배동 905-1),240
682,서초구,2023,사임당로17길(서초동 1642-33),100
683,서초구,2023,도구로(방배동 산 75-2),420
684,서초구,2023,방배로20길(방배동 3279 ~ 방배동 902-5),290
685,서초구,2024,서래로(반포동 97-8~98-8),220
686,서초구,2024,원명초교 앞(서초4동 1685-1),180
687,서초구,2024,신반포로47길(잠원동 39-10~38-16),70
688,서초구,2025,동광로 (방배동 1-138 ~ 797-9),232
689,서초구,2025,서초대로51길(서초동 1699-2 ~ 1699-70),100
690,서초구,2025,서초대로51길(서초동 1694-14),40
691,서초구,2025,원터2길(원지동 377-1 ~ 419-15),130
692,서초구,2025,명달로4길(서초동 1471-19 ~ 1467-65),120
693,서초구,2025,남부순환로339길(서초동 1436-9 ~1422-1),110
694,서초구,2025,효령로46길(서초동 1466-18 ~ 1466-7),50
695,서초구,2025,강남대로99길(잠원동 23-1~23-4),60
696,강남구,2021,강남대로 146길(강남대로 590 ~ 강남대로 146길 9),70
697,강남구,2021,논현로 145길(논현로 145길 62 ~ 논현로 145길 46),90
698,강남구,2021,남부순환로 355길 (남부순환로 355길 33 ~ 남부순환로 355길 29),55
699,강남구,2021,도곡로 2길(도곡로 2길 25 ~ 도곡로 2길 33),80
700,강남구,2021,봉은사로 11길(봉은사로 131 ~ 강남대로 118길 66),100
701,강남구,2021,"논현로 105길, 봉은사로 10길(봉은사로 120)",150
702,강남구,2021,압구정로 71길(압구정로 71길 20 ~ 선릉로 190길 64),140
703,강남구,2021,봉은사로 109길(영동대로 118길 75 ~ 봉은사로 109길 66),75
704,강남구,2022,봉은사로 7길(봉은사로 129 ~ 봉은사로 7길 13),100
705,강남구,2022,언주로 136길(언주로 136길 7 ~ 13),60
706,강남구,2022,선릉로 120길(선릉로 126길 22 ~ 선릉로 120길 34),105
707,강남구,2022,학동로 73길(학동로 431),50
708,강남구,2022,강남대로 100길(강남대로 438 ~ 봉은사로 18길 76),130
709,강남구,2022,도곡로 83길(도곡로 83길 8 ~ 삼성로 64길 32),30
710,강남구,2022,언주로 116길(언주로 116길 26 ~ 봉은사로 43길 39),155
711,강남구,2022,선릉로 120길(봉은사로 57길 59 ~ 선릉로 120길 24),100
712,강남구,2022,학동로 45길(학동로 317 ~ 학동로 45길 7),60
713,강남구,2022,도산대로 96길(도산대로 96길 39 ~ 도산대로 92길 26),200
714,강남구,2022,영동대로 65길(영동대로 65길 16 ~ 도곡로 93길 12),100
715,강남구,2022,광평로 42길(광평로 238 ~ 광평로42길 20),130
716,강남구,2022,테헤란로 44길(테헤란로 44길 7 ~ 선릉로 85길 27),100
717,강남구,2022,영동대로 128길(영동대로128길 56 ~ 영동대로122길 45),90
718,강남구,2022,학동로 46길(학동로 320 ~ 언주로130길 35),60
719,강남구,2022,도곡로 28길(도곡로 216),50
720,강남구,2022,강남대로 102길(강남대로 106길 29 ~ 봉은사로 16길 23),260
721,강남구,2022,테헤란로 5길(테헤란로 5길 49 ~ 강남대로 98길 27),130
722,강남구,2022,도산대로 23길(논현로 641 ~ 논현로 123길 19),170
723,강남구,2023,봉은사로 18길(봉은사로 146 ~ 봉은사로 18길 4),55
724,강남구,2023,테헤란로 13길(테헤란로 131),45
725,강남구,2023,역삼로 52길(영동근린공원 앞(역삼동 755-7)),30
726,강남구,2023,언주로 85길(언주로 85길 24 ~ 테헤란로 38길 12),50
727,강남구,2023,삼성로 147길(도산대로 66길 43 ~ 삼성로 147길 36),285
728,강남구,2023,도산대로 8길(도산대로 122 ~ 강남대로 146길 28),205
729,강남구,2023,강남대로 140길(강남대로 584 ~ 학동로 3길 39),120
730,강남구,2023,영동대로 141길(영동대로 141길 14 ~ 영동대로 735),120
731,강남구,2023,삼성로 112길(삼성로 612 ~ 삼성로 112길 19),150
732,강남구,2023,영동대로 118길(영동대로 118길 43 ~ 영동대로 128길 32-11),145
733,강남구,2023,봉은사로 25길(논현로 117길 8 ~ 논현로 119길 5),90
734,강남구,2023,논현로 135길(논현로 713 ~ 도산대로 26길 55),60
735,강남구,2023,논현로 123길(논현로 653 ~ 논현로 123길 8),60
736,강남구,2023,언주로 126길(언주로 634 ~ 학동로 42길 34),70
737,강남구,2023,학동로 30길(학동로 30길 18 ~ 학동로 30길 33),130
738,강남구,2023,도산대로 92길(삼성로 742 ~ 740),100
739,강남구,2023,삼성로 147길(도산대로 70길 43 ~ 도산대로 70길 25),60
740,강남구,2023,압구정로 75길(압구정로 75길 40 ~ 선릉로 190길 84),55
741,강남구,2023,선릉로 130길(선릉로 130길 33),35
742,강남구,2023,테헤란로 68길(테헤란로 416),40
743,강남구,2023,봉은사로 18길(강남대로 110길 57 ~ 봉은사로 18길 31),100
744,강남구,2023,논현로 105길(봉은사로 134 ~ 봉은사로 16길 16),80
745,강남구,2023,논현로 97길(논현로 97길 14 ~ 논현로 529),100
746,강남구,2023,테헤란로 19길(논현로 99길 29 ~ 논현로 97길 29),60
747,강남구,2023,강남대로 42길(남부순환로 351길 8 ~ 강남대로 42길 11),30
748,강남구,2023,영동대로 65길(도곡로 93길 23(르엘아파트 101동 앞))-보도,65
749,강남구,2023,선릉로(도곡로 404(한티역 4번 출구 주변))-보도,30
750,강남구,2024,학동로 18길 67 ~ 학동로 18길 69,50
751,강남구,2024,학동로 47길 20 ~ 선릉로 133길 16,100
752,강남구,2024,도산대로 70 길 23 ~ 도산대로 72길 36,40
753,강남구,2024,선릉로 108길 65 ~ 봉은사로 68길 8,70
754,강남구,2024,헌릉로 622길 10 ~ 헌릉로 618길 7,30
755,강남구,2024,도산대로 163 ~ 도산대로 23길 8(보도),70
756,강남구,2024,자곡로 100 ~ 자곡로 101(보도),90
757,강남구,2024,논현동 196(보도),80
758,강남구,2024,논현동 206 ~ 논현동 193-18,140
759,강남구,2025,논현동 173-7 ~ 논현동 156-6,170
760,강남구,2025,논현동 175-4 ~ 논현동 175-6,70
761,강남구,2025,청담동 14,100
762,강남구,2025,역삼동 624-30 ~ 역삼동 632-14,150
763,강남구,2025,논현동 5-6 ~ 논현동 5-19,90
764,강남구,2025,논현동 156 ~ 논현동 155-14,150
765,강남구,2025,자곡동 642,120
766,강남구,2025,자곡동 689,80
767,송파구,2022,거마로(거여동 174-5~거여동 178-14),160
768,송파구,2022,동남로20길(가락동 175~가락동 181),210
769,송파구,2023,마천로52길(거여동 696-5),70
770,송파구,2023,거마로(거여동 665-6~거여동 133-33),157
771,송파구,2023,중대로20길(가락동 164-18~가락동 163),180
772,송파구,2024,거마로(거여동 174-5~거여동 133-38),309
773,송파구,2024,탄천동로(가락동 513-1),150
774,송파구,2024,탄천동로(잠실동 141~잠실동 142),200
775,송파구,2024,"동남로13길, 동남로9길(가락동 135-13~가락동 141-1)",185
776,송파구,2025,거마로(거여동 42-3~거여동 697),297
777,송파구,2025,백제고분로44길(송파동 130-7~송파동 128-14),143
778,송파구,2025,성내천로33길(마천동 158-2~마천동 342-3),220
779,강동구,2022,성안로195 주변,130
780,강동구,2022,천중로111 주변,100
781,강동구,2022,동남로832 주변,150
782,강동구,2022,구천면로557 주변,200
783,강동구,2023,명일동312-86주변,300
784,강동구,2023,둔촌동 46-7~둔촌동622,184
785,강동구,2023,천호동 195-21~천호동 196-1,60
786,강동구,2023,천호동121-83~천호동121-82,20
787,강동구,2023,성내동218-17~성내동212-2,120
788,강동구,2023,암사동 458-1~암사동458-12,85
789,강동구,2023,길동 38-9,90
790,강동구,2023,암사동 457-1~암사동 473,250
791,강동구,2023,길동 99-3~길동157-10,100
792,강동구,2024,길동 38-9 학교측 보도,70
793,강동구,2024,길동 38-9 학교측 차도,50
794,강동구,2024,천호동 26-40~천호동 26-12,124
795,강동구,2024,고덕동 294-1~고덕동 294-5,128
796,강동구,2025,명일동 322-8~명일동 312-201,85
797,강동구,2025,"양재대로147길(명리단길, 겨울구간)",120
798,강동구,2025,천호대로163길,190
